,name,team,element_type,selected_by_percent,now_cost,minutes,total_points,goals_scored,assists,clean_sheets,bonus,position
160,Lewis Dunk,Brighton,2,7.4,4.8,2790,100,1,1,10,7,Defender
161,Solly March,Brighton,3,14.5,5.3,2660,145,6,10,10,16,Midfielder
162,Adam Webster,Brighton,2,0.5,4.5,1784,69,0,0,8,3,Defender
163,Joël Veltman,Brighton,2,3.2,4.6,2050,94,1,1,10,6,Defender
164,Robert Sánchez,Brighton,1,8.5,4.5,2070,82,0,0,6,10,Goalkeeper
165,Tariq Lamptey,Brighton,2,0.9,4.2,439,23,0,0,1,0,Defender
166,Steven Alzate,Brighton,3,0.1,4.4,0,0,0,0,0,0,Midfielder
167,Alexis Mac Allister,Brighton,3,7.1,5.5,2360,110,8,1,8,14,Midfielder
168,Jakub Moder,Brighton,3,0.0,4.4,0,0,0,0,0,0,Midfielder
169,Enock Mwepu,Brighton,3,0.0,5.3,209,11,0,1,0,0,Midfielder
170,Jeremy Sarmiento Morante,Brighton,3,0.0,4.5,168,16,0,2,1,0,Midfielder
171,Moisés Caicedo Corozo,Brighton,3,0.3,5.0,2553,66,1,1,8,0,Midfielder
172,Taylor Richards,Brighton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
173,Haydon Roberts,Brighton,2,0.0,4.0,0,0,0,0,0,0,Defender
174,Deniz Undav,Brighton,4,0.3,5.0,343,30,2,1,2,2,Forward
175,Kaoru Mitoma,Brighton,3,27.8,5.6,1748,117,7,7,6,11,Midfielder
176,Julio Enciso,Brighton,4,1.2,4.6,384,37,2,3,2,5,Forward
177,Kacper Kozłowski,Brighton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
178,Billy Gilmour,Brighton,3,0.3,4.2,250,10,0,0,1,0,Midfielder
179,Kjell Scherpen,Brighton,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
180,Matt Clarke,Brighton,2,0.1,4.0,0,0,0,0,0,0,Defender
181,Jan Paul van Hecke,Brighton,2,0.3,4.0,85,4,0,0,0,0,Defender
182,Levi Colwill,Brighton,2,0.1,4.4,800,26,0,0,2,3,Defender
183,Pervis Estupiñán,Brighton,2,14.0,4.8,2089,99,0,6,8,11,Defender
184,Evan Ferguson,Brighton,4,1.4,4.6,595,45,4,2,5,5,Forward
185,Ed Turns,Brighton,2,0.0,4.0,0,0,0,0,0,0,Defender
186,Andrew Moran,Brighton,3,0.0,4.5,11,1,0,0,0,0,Midfielder
187,James Furlong,Brighton,2,0.0,4.0,0,0,0,0,0,0,Defender
188,Jack Hinshelwood,Brighton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
189,Facundo Buonanotte,Brighton,3,0.0,4.5,174,17,1,1,0,2,Midfielder
190,Yasin Ayari,Brighton,3,0.0,4.5,20,2,0,0,0,0,Midfielder
191,Odeluga Offiah,Brighton,2,0.0,4.0,2,1,0,0,0,0,Defender
192,Tom McGill,Brighton,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
193,Carney Chukwuemeka,Chelsea,3,0.3,4.2,222,14,0,0,1,0,Midfielder
194,Marc Cucurella Saseta,Chelsea,2,5.3,4.9,1669,65,0,2,6,1,Defender
